system:index,Lat,Lat_dd,Long,Long_dd,Station_Id,date,fai,ndci,.geo,Chlorophylla_Measurement,Discharge_cfs,Temperature_C
20181225T160659_20181225T161522_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/25/2018,-8.4413,-0.014492754,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",30,,
20190106T160511_20190106T160506_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/6/2019,-33.7108,0.14619883,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",27.9,1857,21.7
20190121T160509_20190121T160511_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/21/2019,21.0667,0.15542522,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",34.3,610,
20190205T160511_20190205T160508_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/5/2019,-41.8282,0.210526316,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",46.6,0,19.7
20190218T160311_20190218T160940_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,2/18/2019,222.127,0.071925754,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",27,1240,
20190302T160509_20190302T160509_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/2/2019,-27.6793,0.111111111,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",12,792,
20190330T155901_20190330T160533_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,3/30/2019,372.2166,0.17798913,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",17.5,1043,23.4
20190504T155829_20190504T161315_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,5/4/2019,-37.8986,0.022880802,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",47.3,24,27.5
20190603T155829_20190603T161410_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,6/3/2019,2139.6776,0.333857031,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",25.4,334,
20190730T160519_20190730T160519_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,7/30/2019,-37.0854,0,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",10.9,0,30.2
20190926T160021_20190926T160854_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,9/26/2019,25.54,0.061538462,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",1.95,278,26.7
20191021T160309_20191021T161516_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/21/2019,31.7748,0.188405797,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.11,0,27.2
20191021T160309_20191021T161516_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,10/21/2019,3415.2459,0.30060423,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",8.72,1340,28.5
20191107T160509_20191107T160511_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/7/2019,2.5112,0.094017094,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",6.7,492,27
20191120T160549_20191120T160546_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/20/2019,31.4952,0.05625,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.25,834,20.4
20191120T160549_20191120T160546_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,11/20/2019,3069.8078,0.348297214,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",0.98,616,23.1
